"Date","Price","Open","High","Low","Change %"
"Dec 18","14,380.0","14,255.0","14,655.0","14,210.0","0.54%"
"Nov 18","14,302.5","15,182.5","15,200.5","14,252.5","-5.92%"
"Oct 18","15,202.5","14,882.5","15,267.5","14,882.5","2.02%"
"Sep 18","14,901.5","14,736.5","14,941.5","14,736.5","1.16%"
"Aug 18","14,730.0","14,430.0","14,735.0","14,395.0","2.15%"
"Jul 18","14,420.0","14,255.0","14,565.0","14,255.0","0.63%"
"Jun 18","14,330.0","13,855.0","14,415.0","13,835.0","3.13%"
"May 18","13,895.0","13,920.0","14,215.0","13,875.0","-0.13%"
"Apr 18","13,912.5","13,742.5","13,932.5","13,737.5","1.07%"
"Mar 18","13,765.0","13,785.0","13,805.0","13,700.0","0.15%"
"Feb 18","13,745.0","13,390.0","13,755.0","13,390.0","2.66%"
"Jan 18","13,388.5","13,536.5","13,554.5","13,266.5","-1.32%"
"Dec 17","13,567.5","13,532.5","13,593.5","13,512.5","0.31%"
"Nov 17","13,526.0","13,582.0","13,597.0","13,467.0","-0.27%"
"Oct 17","13,562.5","13,477.5","13,642.5","13,457.5","0.68%"
"Sep 17","13,471.5","13,341.5","13,551.5","13,136.5","0.96%"
"Aug 17","13,343.0","13,316.0","13,381.0","13,301.0","0.14%"
"Jul 17","13,325.0","13,301.0","13,411.0","13,296.0","-0.02%"
"Jun 17","13,327.5","13,302.5","13,327.5","13,272.5","0.04%"
"May 17","13,322.5","13,326.5","13,416.5","13,281.5","-0.05%"
"Apr 17","13,329.0","13,317.0","13,347.0","13,247.0","0.03%"
"Mar 17","13,325.5","13,357.5","13,397.5","13,297.5","-0.08%"
"Feb 17","13,336.0","13,345.0","13,390.0","13,285.0","-0.12%"
"Jan 17","13,352.0","13,465.0","13,490.0","13,265.0","-0.89%"
"Dec 16","13,472.5","13,572.5","13,587.5","13,272.5","-0.59%"
"Nov 16","13,552.5","13,027.5","13,577.5","13,027.5","3.87%"
"Oct 16","13,048.0","13,021.0","13,076.0","12,951.0","-0.02%"
"Sep 16","13,051.0","13,264.0","13,282.0","12,919.0","-1.63%"
"Aug 16","13,267.5","13,082.5","13,308.5","13,062.5","1.29%"
"Jul 16","13,098.5","13,156.5","13,181.5","13,061.5","-0.86%"
"Jun 16","13,212.5","13,652.5","13,700.5","13,132.5","-3.28%"
"May 16","13,660.0","13,175.0","13,695.0","13,135.0","3.60%"
"Apr 16","13,185.0","13,175.0","13,250.0","13,085.0","-0.57%"
"Mar 16","13,260.0","13,330.0","13,435.0","12,955.0","-0.84%"
"Feb 16","13,372.0","13,755.0","13,825.0","13,295.0","-2.93%"
"Jan 16","13,775.0","13,805.0","13,980.0","13,755.0","-0.09%"
"Dec 15","13,787.5","13,827.5","14,092.5","13,532.5","-0.34%"
"Nov 15","13,835.0","13,655.0","13,850.0","13,425.0","1.08%"
"Oct 15","13,687.5","14,632.5","14,717.5","13,212.5","-6.57%"
"Sep 15","14,650.0","14,050.0","14,735.0","14,045.0","4.27%"
"Aug 15","14,050.0","13,495.0","14,140.0","13,474.0","3.86%"
"Jul 15","13,527.5","13,342.5","13,527.5","13,277.5","1.46%"
"Jun 15","13,332.5","13,202.5","13,386.5","13,191.5","0.82%"
"May 15","13,224.0","12,971.0","13,237.0","12,970.0","2.02%"
"Apr 15","12,962.5","13,057.5","13,062.5","12,802.5","-0.86%"
"Mar 15","13,075.0","12,955.0","13,250.0","12,900.0","1.16%"
"Feb 15","12,925.0","12,685.0","12,945.0","12,585.0","2.03%"
"Jan 15","12,667.5","12,402.5","12,752.5","12,402.5","2.28%"
"Dec 14","12,385.0","12,225.0","12,935.0","12,225.0","1.48%"
"Nov 14","12,204.0","12,105.0","12,221.0","12,080.0","0.98%"
"Oct 14","12,085.0","12,170.0","12,255.0","11,955.0","-0.82%"
"Sep 14","12,185.0","11,700.0","12,235.0","11,695.0","4.23%"
"Aug 14","11,690.0","11,585.0","11,840.0","11,585.0","0.97%"
"Jul 14","11,577.5","11,827.5","11,967.5","11,477.5","-2.34%"
"Jun 14","11,855.0","11,710.0","12,115.0","11,710.0","1.54%"
"May 14","11,675.0","11,540.0","11,675.0","11,343.0","0.98%"
"Apr 14","11,561.5","11,273.5","11,658.5","11,253.5","1.77%"
"Mar 14","11,360.0","11,610.0","11,670.0","11,250.0","-2.14%"
"Feb 14","11,609.0","12,220.0","12,255.0","11,575.0","-4.92%"
"Jan 14","12,210.0","12,190.0","12,275.0","12,005.0","0.33%"
"Dec 13","12,170.0","11,955.0","12,288.0","11,690.0","1.73%"
"Nov 13","11,962.5","11,297.5","12,007.5","11,297.5","6.12%"
"Oct 13","11,272.5","11,607.5","11,607.5","10,917.5","-2.66%"
"Sep 13","11,580.0","10,930.0","11,670.0","10,920.0","6.04%"
"Aug 13","10,920.0","10,285.0","10,960.0","10,280.0","6.25%"
"Jul 13","10,277.5","9,932.5","10,287.5","9,926.5","3.55%"
"Jun 13","9,925.0","9,810.0","9,960.0","9,780.0","1.33%"
"May 13","9,795.0","9,725.0","9,816.0","9,725.0","0.75%"
"Apr 13","9,722.5","9,717.5","9,759.5","9,662.5","0.05%"
"Mar 13","9,717.5","9,670.5","9,749.5","9,670.5","0.56%"
"Feb 13","9,663.5","9,693.5","9,773.5","9,603.5","-0.35%"
"Jan 13","9,697.5","9,657.5","9,777.5","9,617.5","0.62%"
"Dec 12","9,637.5","9,595.5","9,707.5","9,595.5","0.46%"
"Nov 12","9,593.5","9,625.5","9,645.5","9,585.5","-0.12%"
"Oct 12","9,605.0","9,590.0","9,635.0","9,574.0","0.37%"
"Sep 12","9,570.0","9,560.0","9,595.0","9,448.0","0.37%"
"Aug 12","9,535.0","9,465.0","9,585.0","9,440.0","0.95%"
"Jul 12","9,445.0","9,380.0","9,505.0","9,305.0","0.56%"
"Jun 12","9,392.5","9,347.5","9,492.5","9,287.5","-0.08%"
"May 12","9,400.0","9,200.0","9,585.0","9,145.0","2.28%"
"Apr 12","9,190.5","9,152.5","9,200.5","9,082.5","0.51%"
"Mar 12","9,144.0","9,055.0","9,197.0","9,055.0","1.37%"
"Feb 12","9,020.0","9,015.0","9,180.0","8,875.0","0.33%"
"Jan 12","8,990.0","9,110.0","9,211.0","8,880.0","-0.85%"
"Dec 11","9,067.5","9,077.5","9,187.5","8,997.5","-0.47%"
"Nov 11","9,110.0","8,865.0","9,220.0","8,865.0","2.91%"
"Oct 11","8,852.5","8,802.5","8,972.5","8,787.5","0.71%"
"Sep 11","8,790.0","8,540.0","9,110.0","8,540.0","3.01%"
"Aug 11","8,533.0","8,493.0","8,590.0","8,460.0","0.39%"
"Jul 11","8,500.0","8,578.0","8,580.0","8,485.0","-0.89%"
"Jun 11","8,576.5","8,538.5","8,629.5","8,503.5","0.48%"
"May 11","8,535.5","8,543.5","8,608.5","8,527.5","-0.33%"
"Apr 11","8,564.0","8,699.0","8,702.0","8,561.0","-1.65%"
"Mar 11","8,707.5","8,807.5","8,827.5","8,702.5","-1.29%"
"Feb 11","8,821.5","9,033.5","9,045.5","8,803.5","-2.50%"
"Jan 11","9,048.0","8,985.0","9,093.0","8,960.0","0.42%"
"Dec 10","9,010.0","9,040.0","9,055.0","8,975.0","-0.27%"
"Nov 10","9,034.0","8,930.0","9,043.0","8,885.0","1.08%"
"Oct 10","8,937.5","8,920.5","8,952.5","8,902.5","0.14%"
"Sep 10","8,925.0","9,040.0","9,041.0","8,915.0","-1.22%"
"Aug 10","9,035.0","8,945.0","9,050.0","8,927.0","1.06%"
"Jul 10","8,940.0","9,080.0","9,104.0","8,938.0","-1.32%"
"Jun 10","9,060.0","9,205.0","9,300.0","9,000.0","-1.25%"
"May 10","9,175.0","9,030.0","9,385.0","9,015.0","1.80%"
"Apr 10","9,012.5","9,085.5","9,144.5","8,901.5","-0.85%"
"Mar 10","9,090.0","9,305.0","9,375.0","9,006.0","-2.65%"
"Feb 10","9,337.0","9,360.0","9,497.0","9,200.0","-0.14%"
"Jan 10","9,350.0","9,396.0","9,455.0","9,115.0","-0.80%"
"Dec 09","9,425.0","9,480.0","9,520.0","9,385.0","-0.32%"
"Nov 09","9,455.0","9,670.0","9,670.0","9,310.0","-0.99%"
"Oct 09","9,550.0","9,610.0","9,710.0","9,260.0","-0.98%"
"Sep 09","9,645.0","10,105.0","10,175.0","9,565.0","-4.32%"
"Aug 09","10,080.0","9,905.0","10,105.0","9,840.0","1.56%"
"Jul 09","9,925.0","10,225.0","10,260.0","9,900.0","-2.77%"
"Jun 09","10,207.5","10,242.5","10,477.5","9,907.5","-0.80%"
"May 09","10,290.0","10,590.0","10,665.0","10,230.0","-2.79%"
"Apr 09","10,585.0","11,560.0","11,615.0","10,565.0","-8.39%"
"Mar 09","11,555.0","12,015.0","12,170.0","11,360.0","-3.55%"
"Feb 09","11,980.0","11,655.0","12,030.0","11,555.0","5.27%"
"Jan 09","11,380.0","10,960.0","11,385.0","10,710.0","4.40%"
"Dec 08","10,900.0","12,150.0","12,350.0","10,800.0","-9.36%"
"Nov 08","12,025.0","10,775.0","12,675.0","10,725.0","10.32%"
"Oct 08","10,900.0","9,530.0","11,950.0","9,530.0","15.77%"
"Sep 08","9,415.0","9,155.0","9,475.0","9,155.0","2.90%"
"Aug 08","9,150.0","9,090.0","9,225.0","9,062.0","0.60%"
"Jul 08","9,095.0","9,225.0","9,235.0","9,085.0","-1.36%"
"Jun 08","9,220.0","9,310.0","9,360.0","9,195.0","-1.02%"
"May 08","9,315.0","9,230.0","9,385.0","9,209.0","1.01%"
"Apr 08","9,222.0","9,205.0","9,250.0","9,150.0","0.08%"
"Mar 08","9,215.0","9,080.0","9,345.0","9,060.0","1.65%"
"Feb 08","9,065.0","9,235.0","9,290.0","9,042.0","-1.96%"
"Jan 08","9,246.5","9,387.5","9,501.5","9,241.5","-1.55%"
"Dec 07","9,392.5","9,375.5","9,453.5","9,232.5","0.24%"
"Nov 07","9,370.0","9,090.0","9,427.0","9,070.0","3.00%"
"Oct 07","9,097.5","9,112.5","9,197.5","9,037.5","-0.52%"
"Sep 07","9,145.0","9,392.0","9,452.0","9,115.0","-2.61%"
"Aug 07","9,390.0","9,235.0","9,487.0","9,230.0","1.79%"
"Jul 07","9,225.0","9,015.0","9,259.0","8,989.0","2.10%"
"Jun 07","9,035.0","8,835.0","9,150.0","8,760.0","2.36%"
"May 07","8,827.0","9,085.0","9,102.0","8,645.0","-2.87%"
"Apr 07","9,088.0","9,115.0","9,131.0","9,064.0","-0.35%"
"Mar 07","9,120.0","9,145.0","9,265.0","9,075.0","-0.13%"
"Feb 07","9,131.5","9,073.5","9,198.5","9,033.5","0.35%"
"Jan 07","9,100.0","8,980.0","9,181.0","8,935.0","1.18%"
"Dec 06","8,993.5","9,157.5","9,195.5","8,982.5","-1.87%"
"Nov 06","9,165.0","9,090.0","9,225.0","9,075.0","0.78%"
"Oct 06","9,094.0","9,220.0","9,252.0","9,085.0","-1.21%"
"Sep 06","9,205.0","9,105.0","9,265.0","9,075.0","0.97%"
"Aug 06","9,117.0","9,082.0","9,177.0","9,050.0","0.24%"
"Jul 06","9,095.0","9,190.0","9,311.0","9,010.0","-1.81%"
"Jun 06","9,263.0","9,286.0","9,561.0","9,234.0","0.09%"
"May 06","9,255.0","8,790.0","9,430.0","8,695.0","5.35%"
"Apr 06","8,785.0","9,085.0","9,093.0","8,770.0","-3.32%"
"Mar 06","9,087.0","9,165.0","9,410.0","9,010.0","-1.04%"
"Feb 06","9,182.5","9,375.5","9,375.5","9,175.5","-2.00%"
"Jan 06","9,370.0","9,830.0","9,840.0","9,310.0","-4.68%"