Month;export;working_days;ramadan_days;temperature;rainfall;;;24.6785714286;2.4166666667;27.0481217002;;;
Jan  2007;194521581;24;0;25.9908;288.452;;;1.5136956741;6.5161399494;1.8641210945;2.5517121174;2.6291260339;2.432804176
Feb  2007;182777386;23;0;26.0761;308.659;;;;;;1.8910773431;2.6291260339;2.4785630059
Mar  2007;195785072;25;0;26.2171;306.465;;;;;;3.2123468917;2.6291260339;2.5542018688
Apr  2007;201383861;24;0;26.4058;313.486;;;;;;2.5517121174;2.6291260339;2.6554291982
May  2007;210766103;25;0;26.6741;283.009;;;;;;3.2123468917;2.6291260339;2.7993576161
Jun  2007;198596606;25;0;26.1211;261.098;;;;;;3.2123468917;2.6291260339;2.5027030685
Jul  2007;212127415;26;0;25.7758;224.628;;;;;;3.872981666;2.6291260339;2.3174683212
Aug  2007;207446303;25;0;25.8261;170.521;;;;;;3.2123468917;2.6291260339;2.3444515467
Sep  2007;182701709;25;16;25.9217;155.903;;;;;;3.2123468917;5.0845674646;2.3957357687
Oct  2007;195531320;23;13;26.4872;190.176;;;;;;1.8910773431;4.6241721963;2.6990958893
Nov  2007;208315623;26;0;26.1071;234.961;;;;;;3.872981666;2.6291260339;2.4951928268
Dec  2007;222128007;22;0;26.0463;305.377;;;;;;1.2304425688;2.6291260339;2.46257692
Jan  2008;182206427;24;0;26.033;232.708;;;;;;2.5517121174;2.6291260339;2.4554421903
Feb  2008;227685782;23;0;25.7606;272.648;;;;;;1.8910773431;2.6291260339;2.3093143444
Mar  2008;207284787;23;0;25.6627;348.689;;;;;;1.8910773431;2.6291260339;2.256796297
Apr  2008;199419031;26;0;25.9887;286.544;;;;;;3.872981666;2.6291260339;2.4316776398
May  2008;210321196;23;0;26.2862;192.362;;;;;;1.8910773431;2.6291260339;2.5912702761
Jun  2008;200164981;25;0;25.8421;248.741;;;;;;3.2123468917;2.6291260339;2.3530346801
Jul  2008;213347267;26;0;25.4451;199.079;;;;;;3.872981666;2.6291260339;2.140065683
Aug  2008;198702878;25;0;25.8118;205.936;;;;;;3.2123468917;2.6291260339;2.3367803713
Sep  2008;217833783;24;27;26.0801;204.822;;;;;;2.5517121174;6.7726834482;2.4807087892
Oct  2008;168192342;25;2;26.4797;287.949;;;;;;3.2123468917;2.9360562127;2.6950725455
Nov  2008;144380317;25;0;26.4117;325.851;;;;;;3.2123468917;2.6291260339;2.6585942286
Dec  2008;131544928;24;0;26.2618;343.974;;;;;;2.5517121174;2.6291260339;2.5781809977
Jan  2009;118218832;25;0;25.7772;321.807;;;;;;3.2123468917;2.6291260339;2.3182193453
Feb  2009;137644053;24;0;25.7817;279.158;;;;;;2.5517121174;2.6291260339;2.3206333516
Mar  2009;184756856;24;0;25.958;365.026;;;;;;2.5517121174;2.6291260339;2.4152087526
Apr  2009;173320944;25;0;26.7217;304.531;;;;;;3.2123468917;2.6291260339;2.824892438
May  2009;185642695;24;0;26.5502;193.785;;;;;;2.5517121174;2.6291260339;2.732891977
Jun  2009;166208832;26;0;26.3983;158.746;;;;;;3.872981666;2.6291260339;2.6514058544
Jul  2009;196227244;26;0;26.1034;162.699;;;;;;3.872981666;2.6291260339;2.4932079772
Aug  2009;170162848;25;7;26.146;175.402;;;;;;3.2123468917;3.7033816598;2.5160605699
Sep  2009;159570528;23;22;26.596;149.12;;;;;;1.8910773431;6.0053580011;2.7574611963
Oct  2009;183182831;27;0;26.6273;213.317;;;;;;4.5336164404;2.6291260339;2.774251951
Nov  2009;149242856;24;0;26.6877;281.711;;;;;;2.5517121174;2.6291260339;2.8066532795
Dec  2009;172056609;24;0;26.4703;315.362;;;;;;2.5517121174;2.6291260339;2.6900299547
Jan  2010;138155840;25;0;26.0925;298.199;;;;;;3.2123468917;2.6291260339;2.4873607176
Feb  2010;174728908;22;0;26.6103;230.055;;;;;;1.2304425688;2.6291260339;2.7651323718
Mar  2010;208149734;26;0;26.6577;338.607;;;;;;3.872981666;2.6291260339;2.7905599044
Apr  2010;198667988;25;0;26.8081;341.031;;;;;;3.2123468917;2.6291260339;2.8712413582
May  2010;201391551;24;0;26.9744;334.754;;;;;;2.5517121174;2.6291260339;2.9604523009
Jun  2010;205878229;26;0;26.4764;275.414;;;;;;3.872981666;2.6291260339;2.6933022743
Jul  2010;220804938;26;0;25.9426;252.528;;;;;;3.872981666;2.6291260339;2.4069474867
Aug  2010;196959678;25;18;26.1792;260.979;;;;;;3.2123468917;5.3914976434;2.5338705716
Sep  2010;191824821;22;11;26.3379;374.936;;;;;;1.2304425688;4.3172420175;2.6190045259
Oct  2010;223889023;26;0;26.4788;290.075;;;;;;3.872981666;2.6291260339;2.6945897443
Nov  2010;199780702;25;0;26.424;302.522;;;;;;3.2123468917;2.6291260339;2.6651925124
Dec  2010;196777666;24;0;26.131;281.578;;;;;;2.5517121174;2.6291260339;2.5080138823
Jan  2011;207979224;25;0;25.8354;297.665;;;;;;3.2123468917;2.6291260339;2.349440493
Feb  2011;198234512;22;0;25.9172;261.001;;;;;;1.2304425688;2.6291260339;2.3933217625
Mar  2011;219981293;26;0;26.1868;305.038;;;;;;3.872981666;2.6291260339;2.53794756
Apr  2011;239859226;25;0;26.4147;301.848;;;;;;3.2123468917;2.6291260339;2.6602035661
May  2011;227264490;25;0;26.2142;265.651;;;;;;3.2123468917;2.6291260339;2.5526461759
Jun  2011;211630515;24;0;26.0326;240.676;;;;;;2.5517121174;2.6291260339;2.455227612
Jul  2011;239743109;26;0;25.9881;164.809;;;;;;3.872981666;2.6291260339;2.4313557723
Aug  2011;222604330;25;28;25.8631;156.305;;;;;;3.2123468917;6.9261485376;2.3643000427
Sep  2011;201711092;25;1;26.104;165.344;;;;;;3.2123468917;2.7825911233;2.4935298447
Oct  2011;238079553;26;0;26.3972;276.239;;;;;;3.872981666;2.6291260339;2.650815764
Nov  2011;180556377;26;0;26.5333;289.075;;;;;;3.872981666;2.6291260339;2.7238260424
Dec  2011;175533102;27;0;26.5105;347.685;;;;;;4.5336164404;2.6291260339;2.7115950773
Jan  2012;175483694;25;0;26.203;268.818;;;;;;3.2123468917;2.6291260339;2.5466379825
Feb  2012;184508158;25;0;26.3567;291.747;;;;;;3.2123468917;2.6291260339;2.6290897076
Mar  2012;206094566;26;0;26.2156;355.748;;;;;;3.872981666;2.6291260339;2.5533972001
Apr  2012;203647726;24;0;26.4839;305.392;;;;;;2.5517121174;2.6291260339;2.697325618
May  2012;235655500;26;0;26.6149;296.805;;;;;;3.872981666;2.6291260339;2.7676000226
Jun  2012;235055571;26;0;26.3431;180.632;;;;;;3.872981666;2.6291260339;2.6217940442
Jul  2012;207791430;26;9;25.6763;170.846;;;;;;3.872981666;4.0103118387;2.2640919604
Aug  2012;206506202;25;20;25.9398;158.763;;;;;;3.2123468917;5.6984278223;2.4054454384
Sep  2012;200590046;25;0;26.3573;176.408;;;;;;3.2123468917;2.6291260339;2.6294115751
Oct  2012;202121901;26;0;26.66;227.38;;;;;;3.872981666;2.6291260339;2.7917937298
Nov  2012;203449085;25;0;26.6037;321.794;;;;;;3.2123468917;2.6291260339;2.7615918292
Dec  2012;191213174;25;0;26.546;286.626;;;;;;3.2123468917;2.6291260339;2.7306389045
Jan  2013;200136250;25;0;26.3733;255.83;;;;;;3.2123468917;2.6291260339;2.6379947085
Feb  2013;202303385;23;0;26.2532;331.774;;;;;;1.8910773431;2.6291260339;2.5735675635
Mar  2013;230410819;24;0;26.7067;270.981;;;;;;2.5517121174;2.6291260339;2.8168457504
Apr  2013;224268017;26;0;26.65;291.058;;;;;;3.872981666;2.6291260339;2.7864292715
May  2013;238422307;25;0;26.7903;283.856;;;;;;3.2123468917;2.6291260339;2.8616926223
Jun  2013;216673923;24;0;26.7821;189.611;;;;;;2.5517121174;2.6291260339;2.8572937665
Jul  2013;259083373;27;20;26.0773;186.121;;;;;;4.5336164404;5.6984278223;2.4792067409
Aug  2013;207728525;24;9;26.074;181.948;;;;;;2.5517121174;4.0103118387;2.4774364696
Sep  2013;227658503;25;0;26.1239;190.391;;;;;;3.2123468917;2.6291260339;2.5042051169
Oct  2013;250485166;26;0;26.5763;208.644;;;;;;3.872981666;2.6291260339;2.7468932133
Nov  2013;227886536;25;0;26.3509;323.044;;;;;;3.2123468917;2.6291260339;2.6259783218
Dec  2013;225948924;25;0;26.3686;351.034;;;;;;3.2123468917;2.6291260339;2.6354734131
Jan  2014;221852546;24;0;25.6009;268.804;;;;;;2.5517121174;2.6291260339;2.2236439443
Feb  2014;232663601;24;0;26.0123;140.807;;;;;;2.5517121174;2.6291260339;2.4443377615
Mar  2014;234351065;25;0;26.4182;181.671;;;;;;3.2123468917;2.6291260339;2.6620811266
Apr  2014;244102007;24;0;26.8454;323.188;;;;;;2.5517121174;2.6291260339;2.8912507879
May  2014;223500051;23;0;26.6872;232.117;;;;;;1.8910773431;2.6291260339;2.8063850566
Jun  2014;209937304;25;0;26.734;209.128;;;;;;3.2123468917;2.6291260339;2.8314907218
Jul  2014;208170890;22;29;26.0933;152.13;;;;;;1.2304425688;7.079613627;2.4877898743
Aug  2014;215254002;25;0;25.8123;203.516;;;;;;3.2123468917;2.6291260339;2.3370485942
Sep  2014;233156966;26;0;26.347;160.708;;;;;;3.872981666;2.6291260339;2.623886183
Oct  2014;215236145;26;0;26.6925;153.022;;;;;;3.872981666;2.6291260339;2.8092282195
Nov  2014;182036304;25;0;26.8099;259.737;;;;;;3.2123468917;2.6291260339;2.8722069607
Dec  2014;210434861;25;0;26.4952;353.505;;;;;;3.2123468917;2.6291260339;2.703387456
Jan  2015;189789115;25;0;25.8829;298.048;;;;;;3.2123468917;2.6291260339;2.3749216703
Feb  2015;196794290;23;0;26.0899;266.819;;;;;;1.8910773431;2.6291260339;2.4859659584
Mar  2015;217161071;25;0;26.3919;244.618;;;;;;3.2123468917;2.6291260339;2.6479726011
Apr  2015;253204015;25;0;26.84;277.07;;;;;;3.2123468917;2.6291260339;2.8883539804
May  2015;210610440;23;0;26.8103;200.004;;;;;;1.8910773431;2.6291260339;2.8724215391
Jun  2015;248829643;25;11;26.6382;203.772;;;;;;3.2123468917;4.3172420175;2.7800992106
Jul  2015;215782585;22;18;26.2856;110.391;;;;;;1.2304425688;5.3914976434;2.5909484086
Aug  2015;253871551;25;0;26.0917;114.229;;;;;;3.2123468917;2.6291260339;2.4869315609
Sep  2015;228555933;25;0;26.4075;77.6504;;;;;;3.2123468917;2.6291260339;2.6563411561
Oct  2015;216730324;26;0;26.8818;121.046;;;;;;3.872981666;2.6291260339;2.9107774164
Nov  2015;188702793;25;0;26.8451;241.426;;;;;;3.2123468917;2.6291260339;2.8910898542
Dec  2015;216709364;24;0;26.7729;299.566;;;;;;2.5517121174;2.6291260339;2.8523584648
Jan  2016;184890064;25;0;26.9007;243.801;;;;;;3.2123468917;2.6291260339;2.9209162427
Feb  2016;207873577;24;0;26.6521;306.412;;;;;;2.5517121174;2.6291260339;2.7875558077
Mar  2016;200359403;25;0;27.1355;297.036;;;;;;3.2123468917;2.6291260339;3.0468737251
Apr  2016;219344063;26;0;27.4218;262.286;;;;;;3.872981666;2.6291260339;3.2004581681
May  2016;203481841;24;0;27.2184;278.898;;;;;;2.5517121174;2.6291260339;3.091345085
Jun  2016;227016737;26;22;26.6709;215.516;;;;;;3.872981666;6.0053580011;2.7976409895
Jul  2016;184662379;21;7;26.233;216.919;;;;;;0.5698077945;3.7033816598;2.5627313576
Aug  2016;231431725;26;0;26.5444;176.163;;;;;;3.872981666;2.6291260339;2.7297805911
Sep  2016;235093299;25;0;26.5721;252.888;;;;;;3.2123468917;2.6291260339;2.7446401408
Oct  2016;235381827;26;0;26.6892;269.057;;;;;;3.872981666;2.6291260339;2.8074579483
Nov  2016;214565300;26;0;26.5876;308.27;;;;;;3.872981666;2.6291260339;2.7529550513
Dec  2016;240629562;25;0;26.6843;311.074;;;;;;3.2123468917;2.6291260339;2.8048293637
Jan  2017;245948300;25;0;26.9451612903;185.5;;;;;;3.2123468917;2.6291260339;2.9447673168
Feb  2017;237038915;24;0;26.2214285714;115.3;;;;;;2.5517121174;2.6291260339;2.5565239129
Mar  2017;282554981;26;0;26.6870967742;287.5;;;;;;3.872981666;2.6291260339;2.8063296815
Apr  2017;259334307;23;0;26.9566666667;516.5;;;;;;1.8910773431;2.6291260339;2.950939328
May  2017;267691679;24;2;27.3451612903;321.4;;;;;;2.5517121174;2.9360562127;3.1593456514
Jun  2017;202898816;23;27;27.22;231.6;;;;;;1.8910773431;6.7726834482;3.0922033983
Jul  2017;263573399;26;0;27.0806451613;143.8;;;;;;3.872981666;2.6291260339;3.0174470753
Aug  2017;275781265;26;0;27.0774193548;147.2;;;;;;3.872981666;2.6291260339;3.0157166048
Sep  2017;257462706;24;0;27.0366666667;148.2;;;;;;2.5517121174;2.6291260339;2.993854995
Oct  2017;248871154;26;0;27.1677419355;250.4;;;;;;3.872981666;2.6291260339;3.0641697772
Nov  2017;235299400;26;0;27.0966666667;350.3;;;;;;3.872981666;2.6291260339;3.0260417452
Dec  2017;224231528;24;0;26.8322580645;248;;;;;;2.5517121174;2.6291260339;2.8842008514
Jan  2018;230243559;26;0;26.6612903226;174.1;;;;;;3.872981666;2.6291260339;2.792485918
Feb  2018;229675755;23;0;26.2821428571;175.6;;;;;;1.8910773431;2.6291260339;2.5890938387
Mar  2018;242486531;25;0;26.5193548387;439.4;;;;;;3.2123468917;2.6291260339;2.7163452186
Apr  2018;269139021;24;0;27.0333333333;341.8;;;;;;2.5517121174;2.6291260339;2.9920668421
May  2018;256316263;24;13;27.1064516129;349.7;;;;;;2.5517121174;4.6241721963;3.0312908388
Jun  2018;189738765;15;16;27.35;90.4;;;;;;-3.3940008513;5.0845674646;3.1619413571
Jul  2018;279790357;26;0;27.4129032258;29;;;;;;3.872981666;2.6291260339;3.1956855307
Aug  2018;257767938;25;0;27.464516129;75.7;;;;;;3.2123468917;2.6291260339;3.2233730577
Sep  2018;244023307;24;0;26.6966666667;161.2;;;;;;2.5517121174;2.6291260339;2.8114634105
Oct  2018;216770228;27;0;26.8258064516;112.6;;;;;;4.5336164404;2.6291260339;2.8807399105
Nov  2018;207468077;25;0;27.0133333333;371.6;;;;;;3.2123468917;2.6291260339;2.9813379254
Dec  2018;196128479;24;0;26.9;322.3;;;;;;2.5517121174;2.6291260339;2.9205407306
Jan  2019;228229000;26;0;31.80645161;;1.53644e+007;;;;;3.872981666;2.6291260339;5.5525862691
Feb  2019;257239000;23;0;31.78571429;;1.58449e+007;;;;;1.8910773431;2.6291260339;5.5414618201
Mar  2019;235709000;25;0;32.58064516;;1.74323e+007;;;;;3.2123468917;2.6291260339;5.9678991757
Apr  2019;225216000;23;0;32.73333333;;1.83586e+007;;;;;1.8910773431;2.6291260339;6.0498081087
May  2019;224379000;25;25;32.90322581;;1.92626e+007;;;;;3.2123468917;6.4657532694;6.1409462223
Jun  2019;193610000;19;3;32.3;;1.93930e+007;;;;;-0.7514617541;3.0895213022;5.817348248
Jul  2019;245077000;27;0;32.58064516;;1.99621e+007;;;;;4.5336164404;2.6291260339;5.9678991757
Aug  2019;244094000;26;0;33.51612903;;2.00884e+007;;;;;3.872981666;2.6291260339;6.4697356029
Sep  2019;246035000;25;0;34.4;;2.02638e+007;;;;;3.2123468917;2.6291260339;6.9438845048
Oct  2019;245917000;27;0;34.22580645;;2.03436e+007;;;;;4.5336164404;2.6291260339;6.8504391001
Nov  2019;206287000;25;0;34.1;;2.04607e+007;;;;;3.2123468917;2.6291260339;6.7829507538
Dec  2019;204204000;24;0;31.64516129;;2.04904e+007;;;;;2.5517121174;2.6291260339;5.4660627484
Jan  2020;188496000;25;0;31.32258065;;2.05771e+007;;;;;3.2123468917;2.6291260339;5.2930157072
Feb  2020;226020000;25;0;31.62068966;;2.06032e+007;;;;;3.2123468917;2.6291260339;5.4529350444
Mar  2020;237992000;25;0;29.4516129;;2.06378e+007;;;;;3.2123468917;2.6291260339;4.2893428473
Apr  2020;216962000;25;7;28.93333333;;2.06535e+007;;;;;3.2123468917;3.7033816598;4.0113139298
May  2020;207490000;19;23;30.34615385;;2.06740e+007;;;;;-0.7514617541;6.1588230905;4.7692156156
Jun  2020;;25;0;;;;;;;;3.2123468917;2.6291260339;
Jul  2020;;26;0;;;;;;;;3.872981666;2.6291260339;
Aug  2020;;24;0;;;;;;;;2.5517121174;2.6291260339;
Sep  2020;;26;0;;;;;;;;3.872981666;2.6291260339;
Oct  2020;;26;0;;;;;;;;3.872981666;2.6291260339;
Nov  2020;;25;0;;;;;;;;3.2123468917;2.6291260339;
Dec  2020;;25;0;;;;;;;;3.2123468917;2.6291260339;
